Deal Number,FE Price,FE Margin,F&I (BE) Margin,Grand Total Mrgn,After Tax Price ,Delivery Date
13019,"3,831.80",249.25,199.00,448.25,"4,259.03",08/31/2023 08:00:00.000 
13017,"22,868.00","3,502.35","1,910.00","5,412.35","26,321.87",08/31/2023 08:00:00.000 
13015,"8,655.75","1,385.12",349.00,"1,734.12","9,004.75",08/30/2023 08:00:00.000 
13016,"3,600.01",-16.18,199.00,182.82,"4,152.50",08/30/2023 08:00:00.000 
13008,"1,050.00",192.09,173.75,365.84,"1,249.00",08/29/2023 08:00:00.000 
13013,"19,285.00","1,302.68",794.00,"2,096.68","24,078.20",08/29/2023 08:00:00.000 
13011,"7,999.00",-311.71,820.00,508.29,"9,087.44",08/26/2023 08:00:00.000 
13005,"1,750.00",-250.00,449.00,199.00,"2,262.77",08/26/2023 08:00:00.000 
13004,"1,750.00",-250.00,449.00,199.00,"2,262.77",08/26/2023 08:00:00.000 
13012,"15,719.98","-2,031.90","2,514.75",482.85,"20,234.48",08/26/2023 08:00:00.000 
13007,"5,564.72",-951.57,349.00,-602.57,"6,110.47",08/25/2023 08:00:00.000 
13006,"15,199.00",867.15,714.00,"1,581.15","16,996.16",08/25/2023 08:00:00.000 
12995,"6,199.00",619.90,449.00,"1,068.90","6,840.79",08/24/2023 08:00:00.000 
13002,"6,977.55",881.05,544.00,"1,425.05","7,875.69",08/24/2023 08:00:00.000 
13000,"10,709.00","1,233.45",519.00,"1,752.45","11,988.69",08/23/2023 08:00:00.000 
13001,"11,551.00","1,551.00",693.00,"2,244.00","13,376.65",08/23/2023 08:00:00.000 
12999,"6,899.00",562.90,"1,205.25","1,768.15","9,014.32",08/22/2023 08:00:00.000 
12988,"1,599.00",-361.27,304.00,-57.27,"2,095.95",08/19/2023 08:00:00.000 
12996,"2,728.77",811.16,374.25,"1,185.41","3,200.00",08/19/2023 08:00:00.000 
12998,"12,078.95","1,069.22","1,962.00","3,031.22","15,427.30",08/19/2023 08:00:00.000 
12997,"1,559.00",379.53,199.00,578.53,"1,945.17",08/19/2023 08:00:00.000 
12994,749.00,-277.52,199.00,-78.52,"1,060.62",08/18/2023 08:00:00.000 
12991,"10,459.00","1,435.72",826.00,"2,261.72","12,598.49",08/18/2023 08:00:00.000 
